Gene,Chromosome (NC_*),Nucleotide Location(start),Nucleotide Location(end),Strand
WBGene00002038,NC_003281.10,4036840,4038840,-
WBGene00002057,NC_003284.9,8824448,8826448,-
WBGene00002076,NC_003280.10,14363701,14365701,+
WBGene00002095,NC_003280.10,5552617,5554617,+
WBGene00002114,NC_003280.10,3125041,3127041,+
WBGene00002133,NC_003283.11,12485234,12487234,+
WBGene00002152,NC_003282.8,10366601,10368601,+
WBGene00002190,NC_003284.9,5977854,5979854,-
WBGene00002228,NC_003282.8,7038211,7040211,+
WBGene00002247,NC_003282.8,5171332,5173332,+
WBGene00002266,NC_003280.10,9989112,9991112,+
WBGene00002285,NC_003284.9,14745321,14747321,-
WBGene00002855,NC_003281.10,6446907,6448907,-
WBGene00002988,NC_003284.9,1070452,1072452,+
WBGene00003007,NC_003284.9,3956552,3958552,+
WBGene00003026,NC_003279.8,9342496,9344496,-
WBGene00003045,NC_003280.10,7665267,7667267,+
WBGene00003064,NC_003282.8,10385413,10387413,+
WBGene00003083,NC_003279.8,10586501,10588501,+
WBGene00003102,NC_003281.10,7783454,7785454,-
WBGene00003159,NC_003283.11,4345166,4347166,+
WBGene00003178,NC_003282.8,7987183,7989183,-
WBGene00003216,NC_003282.8,4760428,4762428,-
WBGene00003235,NC_003283.11,11978459,11980459,-
WBGene00003254,NC_003284.9,5948869,5950869,-
WBGene00003273,NC_003280.10,11881039,11883039,-
WBGene00003292,NC_003281.10,2170848,2172848,+
WBGene00003311,NC_003282.8,7839631,7841631,+
WBGene00003330,NC_003284.9,8152084,8154084,+
WBGene00003349,NC_003283.11,5438639,5440639,+
WBGene00003368,NC_003284.9,10025856,10027856,+
WBGene00003387,NC_003279.8,3047794,3049794,-
WBGene00003406,NC_003281.10,12874656,12876656,-
WBGene00003425,NC_003282.8,9835649,9837649,+
WBGene00003444,NC_003282.8,5295340,5297340,-
WBGene00003463,NC_003282.8,9687015,9689015,+
WBGene00003482,NC_003281.10,10158697,10160697,+
WBGene00003520,NC_003281.10,13403804,13405804,+
WBGene00003539,NC_003283.11,11472309,11474309,-
WBGene00003558,NC_003281.10,4963571,4965571,+
WBGene00003577,NC_003281.10,4467377,4469377,-
WBGene00003596,NC_003279.8,8392726,8394726,+
WBGene00003615,NC_003280.10,4436805,4438805,+
WBGene00003634,NC_003283.11,8964105,8966105,-
WBGene00003653,NC_003283.11,16000588,16002588,+
WBGene00003672,NC_003279.8,12243456,12245456,+
WBGene00003691,NC_003283.11,11568476,11570476,+
WBGene00003710,NC_003284.9,6640620,6642620,-
WBGene00003729,NC_003284.9,16015121,16017121,+
WBGene00003748,NC_003281.10,3935908,3937908,-
WBGene00003767,NC_003283.11,3982425,3984425,+
WBGene00003786,NC_003283.11,7073787,7075787,+
WBGene00003805,NC_003280.10,10798479,10800479,-
WBGene00003843,NC_003284.9,11344455,11346455,+
WBGene00003862,NC_003280.10,9868747,9870747,-
WBGene00003919,NC_003283.11,18096687,18098687,+
WBGene00003938,NC_003282.8,4204375,4206375,-
WBGene00003957,NC_003282.8,9165127,9167127,-
WBGene00003976,NC_003282.8,5000748,5002748,+
WBGene00003995,NC_003282.8,12599169,12601169,-
WBGene00004014,NC_003279.8,2069352,2071352,+
WBGene00004033,NC_003284.9,9362818,9364818,+
WBGene00004052,NC_003282.8,8715132,8717132,-
WBGene00004090,NC_003280.10,6967648,6969648,-
WBGene00004109,NC_003279.8,5904695,5906695,-
WBGene00004128,NC_003281.10,1903958,1905958,+
WBGene00004147,NC_003279.8,3740485,3742485,-
WBGene00004166,NC_003280.10,263663,265663,-
WBGene00004185,NC_003280.10,10541996,10543996,-
WBGene00004204,NC_003282.8,11124024,11126024,+
WBGene00004223,NC_003281.10,9161653,9163653,-
WBGene00004242,NC_003280.10,13043445,13045445,-
WBGene00004318,NC_003279.8,7960052,7962052,+
WBGene00004337,NC_003283.11,14645979,14647979,-
WBGene00004356,NC_003284.9,4506509,4508509,+
WBGene00004375,NC_003284.9,10379845,10381845,-
WBGene00004394,NC_003280.10,12170573,12172573,+
WBGene00004413,NC_003283.11,20477689,20479689,+
WBGene00004432,NC_003282.8,4749778,4751778,-
WBGene00004451,NC_003281.10,3526642,3528642,+
WBGene00004470,NC_003281.10,4473918,4475918,+
WBGene00004489,NC_003279.8,14469103,14471103,-
WBGene00004508,NC_003279.8,7649777,7651777,-
WBGene00004622,NC_003279.8,15062838,15064838,+
WBGene00004679,NC_003281.10,4917177,4919177,-
WBGene00004698,NC_003280.10,11451362,11453362,+
WBGene00004717,NC_003282.8,7344227,7346227,-
WBGene00004736,NC_003281.10,10816850,10818850,-
WBGene00004755,NC_003282.8,11566194,11568194,-
WBGene00004774,NC_003284.9,7961723,7963723,-
WBGene00004793,NC_003283.11,12987161,12989161,-
WBGene00004812,NC_003283.11,18269985,18271985,-
WBGene00004831,NC_003284.9,11405931,11407931,-
WBGene00004850,NC_003281.10,7140291,7142291,+
WBGene00004888,NC_003279.8,1338678,1340678,+
WBGene00004907,NC_003282.8,11968703,11970703,-
WBGene00004926,NC_003280.10,750212,752212,-
WBGene00004945,NC_003280.10,12337944,12339944,+
WBGene00004964,NC_003283.11,10382250,10384250,+
WBGene00005002,NC_003279.8,1014405,1016405,+
WBGene00005021,NC_003281.10,9780354,9782354,-
WBGene00005040,NC_003280.10,12883272,12885272,+
WBGene00005059,NC_003280.10,4537241,4539241,-
WBGene00005078,NC_003279.8,14320237,14322237,+
WBGene00005097,NC_003283.11,13428760,13430760,-
WBGene00005116,NC_003284.9,13289806,13291806,+
WBGene00005135,NC_003280.10,7205051,7207051,-
WBGene00005173,NC_003280.10,12465133,12467133,+
WBGene00005192,NC_003283.11,15622355,15624355,+
WBGene00005211,NC_003283.11,14924204,14926204,-
WBGene00005230,NC_003283.11,4008470,4010470,+
WBGene00005249,NC_003283.11,12433817,12435817,-
WBGene00005268,NC_003283.11,11304979,11306979,-
WBGene00005287,NC_003280.10,12508682,12510682,+
WBGene00005306,NC_003283.11,2987507,2989507,-
WBGene00005325,NC_003283.11,15365013,15367013,-
WBGene00005344,NC_003283.11,2891276,2893276,+
WBGene00005363,NC_003283.11,15850326,15852326,-
WBGene00005382,NC_003283.11,20525866,20527866,-
WBGene00005401,NC_003283.11,15953797,15955797,+
WBGene00005420,NC_003283.11,4071542,4073542,-
WBGene00005439,NC_003283.11,7352236,7354236,-
WBGene00005458,NC_003283.11,17223405,17225405,-
WBGene00005477,NC_003283.11,2621979,2623979,-
WBGene00005496,NC_003283.11,17800769,17802769,+
WBGene00005515,NC_003283.11,15963232,15965232,-
WBGene00005534,NC_003283.11,7553810,7555810,+
WBGene00005553,NC_003280.10,2632210,2634210,+
WBGene00005572,NC_003280.10,2702857,2704857,-
WBGene00005591,NC_003282.8,11965427,11967427,-
WBGene00005610,NC_003283.11,10743749,10745749,-
WBGene00005629,NC_003283.11,2830966,2832966,+
WBGene00005648,NC_003283.11,8177126,8179126,+
WBGene00005667,NC_003282.8,9496388,9498388,+
WBGene00005686,NC_003283.11,15972584,15974584,-
WBGene00005705,NC_003283.11,15648467,15650467,+
WBGene00005724,NC_003282.8,6403171,6405171,+
WBGene00005743,NC_003282.8,6282243,6284243,-
WBGene00005762,NC_003283.11,15228543,15230543,+
WBGene00005781,NC_003283.11,16522342,16524342,-
WBGene00005800,NC_003283.11,15941425,15943425,+
WBGene00005819,NC_003283.11,17465051,17467051,+
WBGene00005838,NC_003283.11,1680870,1682870,-
WBGene00005857,NC_003283.11,606183,608183,-
WBGene00005876,NC_003283.11,2969949,2971949,+
WBGene00005895,NC_003283.11,692770,694770,-
WBGene00005914,NC_003283.11,680331,682331,+
WBGene00005933,NC_003283.11,13919030,13921030,+
WBGene00005952,NC_003283.11,3907098,3909098,+
WBGene00005971,NC_003283.11,11591727,11593727,+
WBGene00005990,NC_003280.10,3687133,3689133,-
WBGene00006009,NC_003280.10,12523826,12525826,+
WBGene00006028,NC_003283.11,13860805,13862805,+
WBGene00006047,NC_003279.8,2560668,2562668,+
WBGene00006066,NC_003284.9,11642126,11644126,+
WBGene00006085,NC_003283.11,15741951,15743951,-
WBGene00006104,NC_003283.11,2879901,2881901,-
WBGene00006123,NC_003283.11,3251469,3253469,+
WBGene00006142,NC_003283.11,3975264,3977264,+
WBGene00006161,NC_003283.11,16162224,16164224,-
WBGene00006180,NC_003283.11,8081679,8083679,-
WBGene00006199,NC_003282.8,4932403,4934403,+
WBGene00006218,NC_003282.8,4874703,4876703,-
WBGene00006237,NC_003283.11,7157691,7159691,+
WBGene00006256,NC_003283.11,3505822,3507822,+
WBGene00006275,NC_003283.11,15629643,15631643,-
WBGene00006351,NC_003284.9,7305570,7307570,-
WBGene00006389,NC_003281.10,12673423,12675423,-
WBGene00006408,NC_003284.9,3734036,3736036,-
WBGene00006446,NC_003283.11,15577445,15579445,-
WBGene00006465,NC_003283.11,14445651,14447651,+
WBGene00006484,NC_003279.8,12932764,12934764,+
WBGene00006503,NC_003279.8,9064403,9066403,-
WBGene00006522,NC_003280.10,6530163,6532163,+
WBGene00006541,NC_003284.9,15504895,15506895,-
WBGene00006560,NC_003284.9,1863246,1865246,+
WBGene00006579,NC_003281.10,9697876,9699876,+
WBGene00006598,NC_003282.8,13984141,13986141,-
WBGene00006617,NC_003280.10,11695657,11697657,-
WBGene00006636,NC_003280.10,6716586,6718586,+
WBGene00006655,NC_003280.10,8156945,8158945,-
WBGene00006674,NC_003284.9,16297892,16299892,+
WBGene00006693,NC_003283.11,13344278,13346278,+
WBGene00006712,NC_003284.9,7048590,7050590,+
WBGene00006731,NC_003281.10,5581125,5583125,+
WBGene00006750,NC_003284.9,7280322,7282322,-
WBGene00006769,NC_003282.8,3514886,3516886,+
WBGene00006788,NC_003280.10,11089456,11091456,-
WBGene00006807,NC_003279.8,11590246,11592246,+
WBGene00006826,NC_003284.9,5591133,5593133,+
WBGene00006845,NC_003279.8,14870112,14872112,+
WBGene00006864,NC_003284.9,3516794,3518794,+
WBGene00006902,NC_003279.8,13267984,13269984,+
WBGene00006921,NC_003284.9,4189094,4191094,+
WBGene00006940,NC_003280.10,9716467,9718467,-
WBGene00006959,NC_003281.10,4191809,4193809,+
WBGene00006978,NC_003279.8,9845406,9847406,+
WBGene00006997,NC_003280.10,4947900,4949900,+
WBGene00007016,NC_003281.10,5833751,5835751,-
WBGene00007054,NC_003279.8,10102012,10104012,-
WBGene00007073,NC_003283.11,10396801,10398801,+
WBGene00007092,NC_003282.8,12154245,12156245,-
WBGene00007111,NC_003282.8,11332969,11334969,-
WBGene00007130,NC_003284.9,9426431,9428431,+
WBGene00007149,NC_003280.10,11486299,11488299,+
WBGene00007168,NC_003281.10,4755260,4757260,+
WBGene00007187,NC_003281.10,9466157,9468157,+
WBGene00007206,NC_003282.8,13128440,13130440,+
WBGene00007225,NC_003280.10,9267888,9269888,+
WBGene00007244,NC_003280.10,14582306,14584306,-
WBGene00007282,NC_003283.11,11271148,11273148,+
WBGene00007301,NC_003279.8,9696762,9698762,-
WBGene00007320,NC_003281.10,10000528,10002528,-
WBGene00007339,NC_003280.10,11415772,11417772,-
WBGene00007358,NC_003282.8,17431387,17433387,-
WBGene00007377,NC_003280.10,9383541,9385541,+
WBGene00007396,NC_003284.9,10165305,10167305,+
WBGene00007415,NC_003280.10,10358787,10360787,+
WBGene00007434,NC_003280.10,8037346,8039346,-
WBGene00007453,NC_003282.8,13631407,13633407,+
WBGene00007472,NC_003280.10,9871172,9873172,-
WBGene00007529,NC_003284.9,14311683,14313683,-
WBGene00007548,NC_003283.11,12111805,12113805,-
WBGene00007567,NC_003283.11,18144377,18146377,+
WBGene00007586,NC_003283.11,12599157,12601157,-
WBGene00007605,NC_003283.11,12740041,12742041,+
WBGene00007624,NC_003281.10,4176159,4178159,-
WBGene00007643,NC_003279.8,9418885,9420885,-
WBGene00007662,NC_003279.8,13119092,13121092,+
WBGene00007681,NC_003281.10,11821448,11823448,+
WBGene00007700,NC_003281.10,11792345,11794345,-
WBGene00007719,NC_003283.11,15063135,15065135,+
WBGene00007757,NC_003283.11,12130788,12132788,-
WBGene00007776,NC_003284.9,14861852,14863852,-
WBGene00007795,NC_003282.8,9748442,9750442,-
WBGene00007833,NC_003283.11,16300717,16302717,+
WBGene00007852,NC_003283.11,18183210,18185210,+
WBGene00007871,NC_003282.8,12934771,12936771,-
WBGene00007890,NC_003282.8,9514999,9516999,+
WBGene00007909,NC_003283.11,13088405,13090405,+
WBGene00007928,NC_003281.10,3475512,3477512,-
WBGene00007947,NC_003283.11,10501395,10503395,-
WBGene00007966,NC_003281.10,3842893,3844893,+
WBGene00007985,NC_003279.8,9542733,9544733,+
WBGene00008023,NC_003284.9,10442136,10444136,+
WBGene00008042,NC_003281.10,9323024,9325024,+
WBGene00008061,NC_003279.8,9518736,9520736,-
WBGene00008080,NC_003281.10,10880183,10882183,-
WBGene00008099,NC_003283.11,12833688,12835688,+
WBGene00008118,NC_003281.10,3650832,3652832,-
WBGene00008137,NC_003280.10,11681236,11683236,-
WBGene00008156,NC_003282.8,10006892,10008892,-
WBGene00008175,NC_003281.10,9595344,9597344,+
WBGene00008194,NC_003282.8,17318795,17320795,+
WBGene00008213,NC_003284.9,13364997,13366997,-
WBGene00008232,NC_003283.11,9534771,9536771,+
WBGene00008251,NC_003283.11,10156828,10158828,+
WBGene00008270,NC_003283.11,14544869,14546869,+
WBGene00008289,NC_003279.8,12440299,12442299,+
WBGene00008308,NC_003283.11,18809005,18811005,+
WBGene00008327,NC_003283.11,15638953,15640953,-
WBGene00008346,NC_003283.11,13558278,13560278,+
WBGene00008365,NC_003282.8,8931875,8933875,+
WBGene00008384,NC_003279.8,8486082,8488082,-
WBGene00008403,NC_003280.10,9319726,9321726,-
WBGene00008422,NC_003281.10,10460551,10462551,-
WBGene00008441,NC_003283.11,17922916,17924916,+
WBGene00008460,NC_003284.9,14281626,14283626,-
WBGene00008479,NC_003279.8,12433726,12435726,+
WBGene00008498,NC_003280.10,14008706,14010706,+
WBGene00008517,NC_003284.9,13394973,13396973,+
WBGene00008536,NC_003282.8,14201427,14203427,+
WBGene00008555,NC_003282.8,12803924,12805924,+
WBGene00008574,NC_003283.11,17474790,17476790,+
WBGene00008593,NC_003283.11,14470529,14472529,+
WBGene00008612,NC_003279.8,14295954,14297954,-
WBGene00008631,NC_003283.11,16141171,16143171,-
WBGene00008650,NC_003279.8,8442452,8444452,-
WBGene00008669,NC_003283.11,9506132,9508132,+
WBGene00008688,NC_003282.8,12083420,12085420,+
WBGene00008707,NC_003282.8,17471920,17473920,-
WBGene00008726,NC_003283.11,16395304,16397304,-
WBGene00008745,NC_003284.9,10677109,10679109,-
WBGene00008764,NC_003279.8,7300913,7302913,-
WBGene00008783,NC_003279.8,12222298,12224298,-
WBGene00008802,NC_003280.10,8432054,8434054,-
WBGene00008821,NC_003283.11,16047477,16049477,+
WBGene00008840,NC_003280.10,12471238,12473238,-
WBGene00008859,NC_003280.10,13214092,13216092,+
WBGene00008878,NC_003279.8,9389982,9391982,-
WBGene00008897,NC_003283.11,18209171,18211171,-
WBGene00008916,NC_003283.11,10954434,10956434,-
WBGene00008935,NC_003279.8,8061967,8063967,-
WBGene00008954,NC_003284.9,9984939,9986939,-
WBGene00008973,NC_003284.9,14970271,14972271,-
WBGene00008992,NC_003283.11,15533964,15535964,-
WBGene00009011,NC_003282.8,8741388,8743388,-
WBGene00009030,NC_003283.11,16231924,16233924,+
WBGene00009049,NC_003283.11,16092584,16094584,+
WBGene00009068,NC_003284.9,16218010,16220010,+
WBGene00009087,NC_003284.9,14440621,14442621,+
WBGene00009106,NC_003283.11,20902169,20904169,+
WBGene00009125,NC_003279.8,9181119,9183119,-
WBGene00009144,NC_003279.8,7672714,7674714,-
WBGene00009163,NC_003279.8,9785724,9787724,-
WBGene00009182,NC_003280.10,14406612,14408612,+
WBGene00009201,NC_003283.11,12466663,12468663,+
WBGene00009220,NC_003279.8,11177728,11179728,-
WBGene00009239,NC_003283.11,10756798,10758798,-
WBGene00009258,NC_003284.9,11511451,11513451,-
WBGene00009277,NC_003279.8,7838439,7840439,+
WBGene00009296,NC_003283.11,17320590,17322590,+
WBGene00009315,NC_003279.8,11520615,11522615,-
WBGene00009334,NC_003283.11,10891027,10893027,-
WBGene00009353,NC_003280.10,11049913,11051913,-
WBGene00009372,NC_003281.10,3735039,3737039,-
WBGene00009391,NC_003280.10,12886771,12888771,+
WBGene00009410,NC_003279.8,11737699,11739699,-
WBGene00009429,NC_003283.11,13738474,13740474,-
WBGene00009448,NC_003280.10,9555650,9557650,+
WBGene00009467,NC_003279.8,11259233,11261233,-
WBGene00009486,NC_003283.11,15969753,15971753,-
WBGene00009505,NC_003280.10,9041406,9043406,-
WBGene00009524,NC_003282.8,1245386,1247386,+
WBGene00009543,NC_003282.8,9467518,9469518,-
WBGene00009562,NC_003279.8,8656899,8658899,+
WBGene00009581,NC_003283.11,9713209,9715209,+
WBGene00009600,NC_003283.11,14270829,14272829,-
WBGene00009619,NC_003284.9,10285734,10287734,-
WBGene00009638,NC_003284.9,12359057,12361057,-
WBGene00009657,NC_003280.10,11788758,11790758,+
WBGene00009676,NC_003284.9,10215495,10217495,-
WBGene00009695,NC_003279.8,13252141,13254141,+
WBGene00009714,NC_003280.10,9000431,9002431,-
WBGene00009733,NC_003281.10,13434504,13436504,-
WBGene00009752,NC_003279.8,11250238,11252238,+
WBGene00009771,NC_003283.11,9786868,9788868,-
WBGene00009790,NC_003283.11,11672597,11674597,-
WBGene00009809,NC_003283.11,14329733,14331733,+
WBGene00009828,NC_003279.8,14054154,14056154,-
WBGene00009866,NC_003280.10,12534503,12536503,+
WBGene00009885,NC_003284.9,9565981,9567981,-
WBGene00009904,NC_003280.10,8379497,8381497,+
WBGene00009923,NC_003279.8,8315432,8317432,-
WBGene00009942,NC_003279.8,9923978,9925978,+
WBGene00009961,NC_003279.8,8957394,8959394,-
WBGene00009980,NC_003283.11,13404816,13406816,+
WBGene00009999,NC_003283.11,20679420,20681420,+
WBGene00010018,NC_003283.11,15815971,15817971,-
WBGene00010037,NC_003281.10,9443634,9445634,-
WBGene00010056,NC_003280.10,11576716,11578716,+
WBGene00010075,NC_003283.11,11764385,11766385,-
WBGene00010094,NC_003283.11,12271551,12273551,-
WBGene00010113,NC_003279.8,7914271,7916271,-
WBGene00010132,NC_003281.10,9516248,9518248,-
WBGene00010170,NC_003279.8,12301599,12303599,+
WBGene00010189,NC_003283.11,13207645,13209645,+
WBGene00010227,NC_003281.10,9600745,9602745,-
WBGene00010246,NC_003279.8,12033737,12035737,-
WBGene00010265,NC_003280.10,12928341,12930341,-
WBGene00010284,NC_003283.11,11933246,11935246,-
WBGene00010303,NC_003281.10,3394355,3396355,+
WBGene00010322,NC_003280.10,10524474,10526474,-
WBGene00010341,NC_003284.9,10531699,10533699,+
WBGene00010360,NC_003284.9,15060403,15062403,-
WBGene00010379,NC_003283.11,14886148,14888148,-
WBGene00010417,NC_003279.8,11311053,11313053,-
WBGene00010436,NC_003282.8,13241675,13243675,+
WBGene00010455,NC_003281.10,9297445,9299445,-
WBGene00010474,NC_003283.11,12384454,12386454,+
WBGene00010493,NC_003284.9,13926129,13928129,-
WBGene00010512,NC_003283.11,14246861,14248861,-
WBGene00010531,NC_003282.8,16320510,16322510,-
WBGene00010550,NC_003280.10,14437972,14439972,-
WBGene00010569,NC_003279.8,8040526,8042526,-
WBGene00010588,NC_003283.11,16181657,16183657,+
WBGene00010607,NC_003284.9,14223256,14225256,-
WBGene00010626,NC_003283.11,10341032,10343032,+
WBGene00010645,NC_003279.8,7151844,7153844,-
WBGene00010664,NC_003281.10,13762069,13764069,-
WBGene00010683,NC_003280.10,8755370,8757370,-
WBGene00010702,NC_003284.9,15589368,15591368,+
WBGene00010721,NC_003280.10,14126941,14128941,-
WBGene00010740,NC_003279.8,7116655,7118655,-
WBGene00010759,NC_003280.10,14494451,14496451,-
WBGene00010778,NC_003281.10,9859183,9861183,-
WBGene00010797,NC_003283.11,15251829,15253829,+
WBGene00010835,NC_003284.9,13864292,13866292,-
WBGene00010854,NC_003279.8,8546725,8548725,-
WBGene00010873,NC_003279.8,7181053,7183053,+
WBGene00010892,NC_003282.8,12122952,12124952,+
WBGene00010911,NC_003280.10,10860909,10862909,-
WBGene00010930,NC_003283.11,19778123,19780123,+
WBGene00010949,NC_003280.10,8374611,8376611,+
WBGene00010968,NC_003284.9,13566536,13568536,-
WBGene00010987,NC_003280.10,14910407,14912407,-
WBGene00011006,NC_003283.11,10098597,10100597,-
WBGene00011025,NC_003282.8,14158186,14160186,-
WBGene00011044,NC_003280.10,14867944,14869944,+
WBGene00011063,NC_003279.8,7242937,7244937,+
WBGene00011082,NC_003284.9,9854918,9856918,+
WBGene00011101,NC_003284.9,15116614,15118614,-
WBGene00011120,NC_003281.10,4399442,4401442,+
WBGene00011139,NC_003284.9,11121005,11123005,-
WBGene00011158,NC_003280.10,9441938,9443938,-
WBGene00011177,NC_003282.8,10310429,10312429,-
WBGene00011196,NC_003283.11,13969853,13971853,-
WBGene00011215,NC_003281.10,3958221,3960221,+
WBGene00011234,NC_003279.8,7867918,7869918,-
WBGene00011253,NC_003283.11,14612222,14614222,-
WBGene00011272,NC_003280.10,9967099,9969099,-
WBGene00011291,NC_003282.8,10695303,10697303,-
WBGene00011310,NC_003284.9,16317729,16319729,-
WBGene00011329,NC_003283.11,13715273,13717273,-
WBGene00011348,NC_003280.10,7877994,7879994,-
WBGene00011367,NC_003281.10,4018037,4020037,+
WBGene00011386,NC_003279.8,11811779,11813779,+
WBGene00011405,NC_003281.10,4685533,4687533,-
WBGene00011424,NC_003282.8,10040903,10042903,-
WBGene00011443,NC_003284.9,11650851,11652851,-
WBGene00011462,NC_003284.9,10792535,10794535,-
WBGene00011481,NC_003282.8,11118887,11120887,-
WBGene00011500,NC_003281.10,9751432,9753432,-
WBGene00011519,NC_003283.11,15890061,15892061,+
WBGene00011538,NC_003283.11,15394961,15396961,-
WBGene00011557,NC_003281.10,10299852,10301852,-
WBGene00011576,NC_003283.11,9930775,9932775,-
WBGene00011595,NC_003282.8,10538684,10540684,-
WBGene00011614,NC_003284.9,11946838,11948838,-
WBGene00011633,NC_003280.10,7844186,7846186,+
WBGene00011652,NC_003279.8,12367189,12369189,+
WBGene00011671,NC_003280.10,9797740,9799740,-
WBGene00011690,NC_003283.11,16035381,16037381,-
WBGene00011709,NC_003283.11,11457555,11459555,+
WBGene00011728,NC_003282.8,11749450,11751450,+
WBGene00011747,NC_003282.8,9777634,9779634,-
WBGene00011785,NC_003279.8,12398267,12400267,-
WBGene00011804,NC_003281.10,10048621,10050621,+
WBGene00011823,NC_003284.9,12447892,12449892,+
WBGene00011842,NC_003283.11,17227555,17229555,+
WBGene00011880,NC_003284.9,10948952,10950952,-
WBGene00011899,NC_003281.10,10539163,10541163,-
WBGene00011918,NC_003279.8,7958474,7960474,-
WBGene00011937,NC_003284.9,12769797,12771797,-
WBGene00011956,NC_003281.10,4665372,4667372,-
WBGene00011975,NC_003279.8,7674668,7676668,+
WBGene00011994,NC_003280.10,11300891,11302891,+
WBGene00012013,NC_003282.8,10759698,10761698,+
WBGene00012032,NC_003280.10,9231223,9233223,+
